time,open,high,low,close
1290391200,422.70999146,426.19000244,419.98001099,426.19000244
1290477600,426.19000244,430.80999756,426.02999878,430.80999756
1290564000,430.73001099,434.48001099,427.98999023,434.48001099
1290650400,434.70001221,440.19000244,434.70001221,439.8500061
1290736800,441.88000488,443.67999268,437.29000854,439.94000244
1290996000,437.92001343,446.35998535,436.38000488,446.35998535
1291082400,450.04000854,456.29998779,450.04000854,451.58999634
1291168800,451.01998901,453.54998779,448.13000488,449.92999268
1291255200,450.08999634,457.42001343,448.23001099,457.42001343
1291341600,462.29998779,467.20001221,462.29998779,464.3500061
1291600800,467.29998779,468.77999878,462.86999512,465.55999756
1291687200,461.70999146,466.1000061,460.76000977,460.76000977
1291773600,459.41000366,461.6000061,452.54998779,452.82998657
1291860000,450.58999634,460.79000854,450.16000366,460.45001221
1291946400,464.80999756,473.05999756,462.39001465,473.05999756
1292205600,485.82000732,490.29998779,485.73001099,490.22000122
1292292000,493.72000122,496.42001343,480.64001465,489.6499939
1292378400,492.79998779,497.08999634,491.51000977,493.47000122
1292464800,484.80999756,489.70001221,479.67999268,480.20999146
1292551200,483,485.29000854,476.26998901,485.29000854
1292810400,488.29998779,488.29998779,478.29000854,478.29000854
1292896800,471.17001343,483.42999268,470.14001465,481.77999878
1292983200,488.30999756,488.69000244,481.52999878,481.52999878
1293069600,481.70999146,481.70999146,475.41000366,475.41000366
1293156000,474.16000366,477.80999756,470.80999756,472.76000977
1293415200,475.64001465,476.04998779,469.64001465,473.04998779
1293501600,471.73001099,479.32998657,471.73001099,479.32998657
1293588000,480.52999878,481.17001343,476.52999878,478.75
1293674400,477.20001221,481.51000977,477.20001221,481.3999939
1293760800,480.92999268,485.22000122,480.1000061,484.66000366
1294106400,485.72000122,487.82998657,481.66000366,485.97000122
1294192800,487.94000244,487.94000244,481.91000366,481.91000366
1294279200,480.85998535,483.16000366,479.86999512,482.30999756
1294365600,482.76998901,483.85998535,481.3500061,481.85998535
1294624800,483.70999146,485.05999756,479.57998657,480.54998779
1294711200,477.97000122,480.79000854,475.48001099,477.44000244
1294797600,480.82000732,481.6499939,477.48999023,478.45001221
1294884000,479.95001221,485.01998901,479.6000061,484.11999512
1294970400,487.05999756,490.10998535,486.54000854,489.22000122
1295229600,492.89001465,498.48999023,492.36999512,495.16000366
1295316000,497.04998779,501.27999878,496,497.42999268
1295402400,504.92999268,507.89001465,503.1000061,505.91000366
